method,chip_id,psnr,ssim,sam,ergas,ndvi_delta
lanczos,104,31.99724342046434,0.88631475,0.81102604,2.3640223,0.014120285
esrgan,104,22.319277905711623,0.46446928,2.7002494,6.901581,0.028554399
bicubic,105,34.18561431968206,0.92796344,0.80838376,2.2751129,0.014915606
lanczos,105,33.963380975986574,0.9239256,0.8380122,2.3357286,0.016272264
esrgan,105,23.97782422265547,0.5235337,2.788306,7.223762,0.031177528
bicubic,106,32.70569714026156,0.89476144,0.9222646,2.5593157,0.018006124
lanczos,106,32.636364740537864,0.89030886,0.94913304,2.5828326,0.01905161
esrgan,106,24.393987657619846,0.5305882,2.3419971,6.6232023,0.028895076
bicubic,107,32.369523076672245,0.90043676,0.842581,2.324358,0.016144853
lanczos,107,32.24103175137196,0.8964248,0.8592446,2.360181,0.016950548
esrgan,107,23.20918483304046,0.4938349,2.5068312,6.5706925,0.03323019
bicubic,108,33.63641735748271,0.8951081,0.74476826,2.103724,0.013816207
lanczos,108,33.531959511494826,0.8925619,0.76872474,2.1325748,0.014554806
esrgan,108,25.68077095403003,0.5579853,1.794206,5.0917993,0.024278648
bicubic,109,31.992411454267405,0.88546336,0.84335274,2.4258304,0.01527658
lanczos,109,31.84994623891271,0.8817736,0.87129074,2.4674454,0.01606479
esrgan,109,24.203931353376475,0.50406253,1.885057,5.840532,0.02901919
bicubic,110,30.836316952293874,0.8535551,1.3744911,3.8353238,0.027757505
lanczos,110,30.778023529958453,0.8515952,1.3868246,3.8655455,0.028481485
esrgan,110,24.7160331484777,0.5247967,3.1716037,7.8338885,0.04813149
bicubic,111,33.63564626478677,0.9099077,0.7932643,2.3305757,0.01431082
lanczos,111,33.533396511672926,0.91020614,0.8149196,2.3610978,0.015130354
esrgan,111,24.544398724253966,0.5497156,2.3028698,6.494504,0.02620885
bicubic,112,23.698777354518036,0.9075823,1.9392754,11.346231,0.018927341
lanczos,112,23.681838695701458,0.9052119,1.9466926,11.368934,0.019564468
esrgan,112,22.788264932806953,0.66871464,3.0924473,12.597196,0.031235822
bicubic,113,29.789074849928234,0.87670565,0.9353545,3.0327985,0.017438933
lanczos,113,29.713647246203706,0.87274265,0.96205866,3.061114,0.018345762
esrgan,113,23.128890839612616,0.48563972,2.0600264,6.422031,0.028808087
bicubic,114,31.649578311605723,0.87900925,0.8702248,2.5842757,0.01575698
lanczos,114,31.652095265720334,0.8763892,0.8848488,2.5870225,0.01639997
esrgan,114,24.286115910699518,0.5243847,2.0051837,5.9212623,0.02569357
bicubic,115,31.451354507437127,0.88869286,0.86391824,2.61643,0.015259829
lanczos,115,31.27375348562426,0.88188,0.8870185,2.674333,0.015995616
esrgan,115,22.54218514529923,0.4771076,2.3668916,7.180418,0.029559143
bicubic,116,32.517995141300375,0.896407,0.8667669,2.4878335,0.016401384
lanczos,116,32.11717324021277,0.8865554,0.9204964,2.603953,0.01780616
esrgan,116,23.859488652257852,0.53867126,2.1903179,6.5605245,0.028997019
bicubic,117,32.414876371430765,0.9020136,0.88001114,2.7341092,0.017676895
lanczos,117,32.30216247187037,0.89511645,0.9129603,2.772543,0.01862607
esrgan,117,24.99060869003397,0.59824795,2.2113893,6.307336,0.031549428
bicubic,118,30.29612126040975,0.88473415,0.951614,2.9395118,0.018915715
lanczos,118,30.211772472369283,0.8788725,0.97505563,2.969777,0.019839061
esrgan,118,23.496121824063945,0.5045288,2.0215595,6.352999,0.03278184
bicubic,119,22.264982166572175,0.9285742,1.5603726,11.484597,0.010098592
lanczos,119,22.257855770864087,0.9263137,1.5798258,11.4941635,0.0105294725
esrgan,119,21.954085575614265,0.703807,2.4574711,11.947041,0.021616813
