method,scene,scale,reflectance,spectral,spatial,synthesis,ha_metric,om_metric,im_metric
esrgan,36,2,0.009472854435443878,3.817692995071411,0.07211102545261383,0.010499303229153156,0.428162544965744,0.2315007895231247,0.3403366208076477
sen2sr,36,2,0.003841223195195198,1.0413105487823486,0.0,0.008479014970362186,0.23320719599723816,0.2675272226333618,0.4992656111717224
bicubic,37,2,0.0021620059851557016,0.5368562340736389,0.0,0.005171175580471754,0.07229875028133392,0.7674164772033691,0.16028477251529694
lanczos,37,2,0.0021203062497079372,0.5277654528617859,0.0,0.005202814005315304,0.07614277303218842,0.7637467384338379,0.1601105034351349
esrgan,37,2,0.00641658715903759,1.9574965238571167,0.019999999552965164,0.013691172003746033,0.44116586446762085,0.08777181804180145,0.4710623621940613
sen2sr,37,2,0.005030028522014618,1.1346465349197388,0.0,0.013214139267802238,0.24505625665187836,0.06413894891738892,0.6908047795295715
bicubic,38,2,0.0027637293096631765,0.7087729573249817,0.0,0.015838051214814186,0.10904167592525482,0.09060198813676834,0.8003563284873962
lanczos,38,2,0.0026881860103458166,0.6850946545600891,0.0,0.015738116577267647,0.10650165379047394,0.09322293102741241,0.800275444984436
esrgan,38,2,0.010964667424559593,2.7563698291778564,0.02828427031636238,0.016851846128702164,0.33536726236343384,0.17414769530296326,0.4904850423336029
sen2sr,38,2,0.005564716178923845,1.422677755355835,0.0,0.015968766063451767,0.13129501044750214,0.10521899908781052,0.7634860873222351
bicubic,39,2,0.0013018996687605977,0.36903077363967896,0.0,0.010762166231870651,0.10542339086532593,0.07378403842449188,0.820792555809021
lanczos,39,2,0.001280318247154355,0.35569894313812256,0.0,0.010761871933937073,0.10483019053936005,0.07270276546478271,0.822467029094696
esrgan,39,2,0.006629756651818752,2.3111774921417236,0.019999999552965164,0.011569632217288017,0.21406246721744537,0.1595093160867691,0.6264281868934631
sen2sr,39,2,0.0026141153648495674,0.9605510234832764,0.0,0.010939904488623142,0.12141838669776917,0.07647186517715454,0.8021097779273987
bicubic,40,2,0.0058142938651144505,1.5004934072494507,0.0,0.008992080576717854,0.10614252835512161,0.4364986717700958,0.45735883712768555
lanczos,40,2,0.0056127808056771755,1.4546881914138794,0.0,0.009234949946403503,0.11717339605093002,0.41611894965171814,0.46670764684677124
esrgan,40,2,0.03029949963092804,7.728435516357422,0.04472135752439499,0.019699055701494217,0.698777437210083,0.11467365175485611,0.18654890358448029
sen2sr,40,2,0.013493656180799007,3.3830244541168213,0.0,0.01639646105468273,0.38530367612838745,0.24027027189731598,0.3744260370731354
bicubic,41,2,0.005337685812264681,1.370067834854126,0.0,0.010907229036092758,0.17316396534442902,0.2048347145318985,0.6220013499259949
lanczos,41,2,0.005091371946036816,1.3003404140472412,0.0,0.011076604016125202,0.16862697899341583,0.18978971242904663,0.6415833830833435
esrgan,41,2,0.027649909257888794,8.5084867477417,0.04472135752439499,0.02281161956489086,0.7425293326377869,0.13031819462776184,0.1271524429321289
sen2sr,41,2,0.009379536844789982,2.2605152130126953,0.0,0.015530196949839592,0.2634676992893219,0.1574537605047226,0.5790784955024719
bicubic,42,2,0.0028125327080488205,0.7226453423500061,0.0,0.013995016925036907,0.22955621778964996,0.0878869816660881,0.6825568079948425
lanczos,42,2,0.0027266074903309345,0.7004939317703247,0.0,0.014076150953769684,0.23368684947490692,0.08791441470384598,0.678398847579956
esrgan,42,2,0.010367962531745434,2.8309884071350098,0.03999999910593033,0.014795982278883457,0.4543001353740692,0.14793816208839417,0.3977617025375366
sen2sr,42,2,0.00570288859307766,1.4264618158340454,0.0,0.014197416603565216,0.25582918524742126,0.10616618394851685,0.6380046010017395
bicubic,43,2,0.0019289047922939062,0.5046681761741638,0.0,0.009112090803682804,0.21464304625988007,0.18323202431201935,0.6021249294281006
lanczos,43,2,0.0018687098054215312,0.4870761036872864,0.0,0.009178662672638893,0.21578766405582428,0.17801131308078766,0.6062010526657104
esrgan,43,2,0.007878437638282776,2.7270283699035645,0.02828427031636238,0.009872693568468094,0.4569934010505676,0.20459158718585968,0.3384150564670563
sen2sr,43,2,0.004478891380131245,1.0076851844787598,0.0,0.00945627223700285,0.26215460896492004,0.18693161010742188,0.5509138107299805
bicubic,44,2,0.005447247996926308,1.3831125497817993,0.0,0.013100209645926952,0.21037136018276215,0.337595671415329,0.45203301310539246
lanczos,44,2,0.005216849502176046,1.32533860206604,0.0,0.013143401592969894,0.21367500722408295,0.31350308656692505,0.4728219211101532
esrgan,44,2,0.02966514602303505,9.35364818572998,0.03999999910593033,0.021923746913671494,0.7424337863922119,0.13894875347614288,0.11861750483512878
sen2sr,44,2,0.009649963118135929,2.411362409591675,0.0,0.016646098345518112,0.3722425699234009,0.24067004024982452,0.3870873749256134
